thing_1-num_inv;filename_thumbnail;thing_2-creator;thing_3-assigned;art_7-artwork_descriptive_type;art_8-artwork_unicity_type;event_1-artwork_creation;T9;art_16_artwork_dimension;Description photographic process;org_2-institution_name;Current_localisation;Storage_localisation
9994;009994.jpg;LIPPMANN Gabriel;Sans titre;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_9.5x9.5;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9995;009995.jpg;LIPPMANN Gabriel;Sans titre;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_9.3x9.3;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9996;009996.jpg;LIPPMANN Gabriel;Sans titre;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_8.5x8.5;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9997;009997.jpg;LIPPMANN Gabriel;Sans titre;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_8.5x8.4;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9998;009998.jpg;LIPPMANN Gabriel;Sans titre;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_9x12;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9999;009999.jpg;LIPPMANN Gabriel;Chalets;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_8.9x12;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
10000;MEL_LIPPMANN_Gabriel_010000.jpg;LIPPMANN Gabriel;Sans titre;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_9x12;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
10001;010001.jpg;LIPPMANN Gabriel;Aiguille verte. Haute Savoie. couchant du soleil;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_9x12;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
10002;010002.jpg;LIPPMANN Gabriel;Versailles;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_9x11.9;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 52;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
10003;010003.jpg;LIPPMANN Gabriel;Sainte Maxime. Midi de la France;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_9x12;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
10004;010004.jpg;LIPPMANN Gabriel;Venise;Photographie positif verre polychrome;original;1891-1899;;image_cm_8.5x8.4;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Sorti pour expo Lippmann / Boite 3;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
10005;010005.jpg;LIPPMANN Gabriel;sans titre;Photographie positif verre polychrome;original;1891-1899;;image_cm_8.6x8.6;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
10006;010006.jpg;LIPPMANN Gabriel;Sans titre;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_9.1x12.1;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
10007;010007.jpg;LIPPMANN Gabriel;Talloires;Photographie positif verre polychrome;original;1902;;image_cm_8.6x8.8;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
10008;010008.jpg;LIPPMANN Gabriel;Sans titre;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_9x11.9;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
10009;010009.jpg;LIPPMANN Gabriel;Sans titre;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_8.6x8.6;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
10010;010010.jpg;LIPPMANN Gabriel;Sans titre;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_8.5x8.4;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
10011;010011.jpg;LIPPMANN Gabriel;Tableau;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_9.3x9.3;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 52;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
10012;010012.jpg;LIPPMANN Gabriel;Sans titre;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_8.5x8.5;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
10013;010013.jpg;LIPPMANN Gabriel;Vitrail artisan 1.;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_6.2x8.2;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Sorti pour expo Lippmann / Boite 1;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
10014;010014.jpg;LIPPMANN Gabriel;Sans titre;Photographie positif verre polychrome;original;1891 - 1899;entre 1891 et 1899;image_cm_6.5x8.7;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Sorti pour expo Lippmann / Boite 1;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
21994;021994.jpg;LIPPMANN Gabriel;Sans titre;Photographie positif verre polychrome;original;1891-1899;;image_cm_9.3x9.3;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
21995;021995.jpg;LIPPMANN Gabriel;Fontainebleau.;Photographie positif verre polychrome;original;1891-1899;;image_cm_12x9;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
21996;021996.jpg;LIPPMANN Gabriel;Fontainebleau.;Photographie positif verre polychrome;original;1891-1899;;image_cm_11.9x9;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
21997;021997.jpg;LIPPMANN Gabriel;Fontainebleau.;Photographie positif verre polychrome;original;1891-1899;;image_cm_11.9x9;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
21998;021998.jpg;LIPPMANN Gabriel;Fontainebleau.;Photographie positif verre polychrome;original;1891-1899;;image_cm_11.9x9;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Sorti pour expo Lippmann / Boite 3;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
54284;MEL_LIPPMANN_Gabriel_054284.jpg;LIPPMANN Gabriel;Sans titre;Photographie positif verre polychrome;original;;;objet_cm_9.1x12.1x2;"Procédé interférentiel - Lippmann
prisme de verre";Elysée;;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
54285;MEL_LIPPMANN_Gabriel_054285.jpg;LIPPMANN Gabriel;Sans titre;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;objet_cm_9.3x7x1.7;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Sorti pour expo Lippmann / Boite 3;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
54287;MEL_LIPPMANN_Gabriel_054287.jpg;LIPPMANN Gabriel;Sans titre;Photographie positif verre polychrome;original;;;objet_cm_9.3x12x2;"Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
54288;MEL_LIPPMANN_Gabriel_054288.jpg;LIPPMANN Gabriel;Fontainebleau;Photographie positif verre polychrome;original;;;objet_cm_9x12x2;"Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
202981;;LIPPMANN Gabriel;Autoportrait. INTERNEGATIF;Photographie negatif film monochrome;;;;image_cm_12x10;;;;"Musée de l'Elysée; L"
